# KS X 1001 Ideographs (4,620)
000057A2	uni57A2-JP
000057A3	uni57A3-JP
000057C3	uni57C3-JP
000057C7	uni57C7-JP
000057C8	uni57C8-JP
000057CB	uni57CB-CN
000057CE	uni57CE-CN
000057DF	uni57DF-CN
000057E0	uni57E0-CN
000057F0	uni57F0-JP
000057F4	uni57F4-JP
000057F7	uni57F7-JP
000057F9	uni57F9-JP
000057FA	uni57FA-CN
000057FC	uni57FC-JP
00005800	uni5800-JP
00005802	uni5802-CN
00005805	uni5805-JP
00005806	uni5806-JP
00005808	uni5808-JP
00005809	uni5809-JP
0000580A	uni580A-JP
0000581E	uni581E-CN
00005821	uni5821-CN
00005824	uni5824-CN
00005827	uni5827-JP
0000582A	uni582A-JP
0000582F	uni582F-JP
00005830	uni5830-JP
00005831	uni5831-JP
00005834	uni5834-JP
00005835	uni5835-JP
0000583A	uni583A-JP
0000584A	uni584A-JP
0000584B	uni584B-JP
0000584F	uni584F-JP
00005851	uni5851-JP
00005854	uni5854-JP
00005857	uni5857-JP
00005858	uni5858uE0101-JP
0000585A	uni585AuE0102-JP
0000585E	uni585E-JP
00005861	uni5861-JP
00005862	uni5862-JP
00005864	uni5864-JP
00005875	uni5875-JP
00005879	uni5879-JP
0000587C	uni587C-JP
0000587E	uni587E-JP
00005883	uni5883-JP
00005885	uni5885-CN
00005889	uni5889-JP
00005893	uni5893-CN
0000589C	uni589CuE0101-JP
0000589E	uni589E-JP
0000589F	uni589F-JP
000058A8	uniFA3A-JP
000058A9	uni58A9-JP
000058AE	uni58AE-JP
000058B3	uni58B3-JP
000058BA	uni58BA-JP
000058BB	uni58BB-JP
000058BE	uni58BE-JP
000058C1	uni58C1-JP
000058C5	uni58C5-JP
000058C7	uni58C7-JP
000058CE	uni58CE-JP
000058D1	uni58D1-JP
000058D3	uni58D3-JP
000058D5	uni58D5-JP
000058D8	uni58D8-JP
000058D9	uni58D9-JP
000058DE	uni58DE-JP
000058DF	uni58DF-JP
000058E4	uni58E4-JP
000058EB	uni58EB-CN
000058EC	uni58EC-JP
000058EF	uni58EF-JP
000058F9	uni58F9-CN
000058FA	uni58FA-JP
000058FB	uni58FB-JP
000058FD	uni58FD-CN
0000590F	uni590F-CN
00005914	uni5914-KR
00005915	uni5915-JP
00005916	uni5916-JP
00005919	uni5919-JP
0000591A	uni591A-JP
0000591C	uni591C-JP
00005922	uni5922-CN
00005927	uni5927-CN
00005929	uni5929-JP
0000592A	uni592A-JP
0000592B	uni592B-CN
0000592D	uni592D-CN
0000592E	uni592E-CN
00005931	uni5931-CN
00005937	uni5937-JP
0000593E	uni593E-JP
00005944	uni5944-CN
00005947	uni5947-CN
00005948	uni5948-CN
00005949	uni5949-JP
0000594E	uni594E-JP
0000594F	uni594F-JP
00005950	uni5950-JP
00005951	uniF909-JP
00005954	uni5954-CN
00005955	uni5955-JP
00005957	uni5957-JP
0000595A	uni595A-JP
00005960	uni5960-JP
00005962	uni5962-JP
00005967	uni5967-CN
0000596A	uni596A-JP
0000596B	uni596B-JP
0000596C	uni596C-JP
0000596D	uni596D-JP
0000596E	uni596E-JP
00005973	uni5973-JP
00005974	uni5974-JP
00005978	uni5978-JP
0000597D	uni597D-JP
00005982	uni5982-JP
00005983	uni5983-JP
00005984	uni5984-JP
0000598A	uni598A-JP
00005993	uni5993-JP
00005996	uni5996-JP
00005997	uni5997-JP
00005999	uni5999-JP
000059A5	uni59A5uE0101-JP
000059A8	uni59A8-JP
000059AC	uni59AC-JP
000059B9	uni59B9-JP
000059BB	uni59BB-JP
000059BE	uni59BE-JP
000059C3	uni59C3-JP
000059C6	uni59C6-JP
000059C9	uni59C9-JP
000059CB	uni59CB-JP
000059D0	uni59D0-JP
000059D1	uni59D1-JP
000059D3	uni59D3-JP
000059D4	uni59D4-JP
